
2020-02-26 11:05:17.873294	{'message_id': 1096, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582695285, 'text': '/start', 'entities': [{'offset': 0, 'length': 6, 'type': 'bot_command'}]}
2020-02-26 11:05:27.881693	{'message_id': 1098, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582695295, 'text': 'Do you have home delivery option'}
2020-02-26 11:05:31.718098	{'message_id': 1100, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582695299, 'text': 'Ok'}
2020-02-26 11:05:48.695502	{'message_id': 1102, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582695316, 'text': 'How will you deliver product'}
2020-02-26 11:05:52.596935	{'message_id': 1104, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582695320, 'text': 'Ok'}
2020-02-26 11:06:37.448485	{'message_id': 1106, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582695365, 'text': 'How will I get delivery'}
2020-02-26 11:06:54.967115	{'message_id': 1108, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582695382, 'text': 'How to buy'}
2020-02-26 11:07:11.399300	{'message_id': 1110, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582695399, 'text': 'Thank you'}
2020-02-26 11:12:05.375021	{'message_id': 1112, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582695693, 'text': 'How will I get delivery'}
2020-02-26 11:12:16.315579	{'message_id': 1114, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582695704, 'text': 'Hi'}
